Read_Name	Origin_Gene	Mapped_Gene
Read50238	PKD1P5	PKD1P1
Read15150	PKD1P4	PKD1P4
Read64680	PKD1P5	PKD1P5
Read44204	PKD1P6	PKD1P3
Read36847	PKD1P6	PKD1P6
Read89876	PKD1P1	PKD1P1
Read8696	PKD1P2	PKD1P2
Read39172	PKD1P5	PKD1P1
Read48804	PKD1P6	PKD1P6
Read96826	PKD1P1	PKD1P1
Read44487	PKD1P3	PKD1P1
Read89928	PKD1	PKD1
Read51944	PKD1	PKD1
Read85736	PKD1P4	PKD1P4
Read9746	PKD1P5	PKD1P5
Read41473	PKD1P2	PKD1P2
Read98315	PKD1P4	PKD1P4
Read35559	PKD1P2	PKD1P2
Read91373	PKD1P3	PKD1P3
Read60930	PKD1P6	PKD1P6
Read94009	PKD1P4	PKD1P1
Read724	PKD1	PKD1
Read1396	PKD1P3	PKD1P2
Read12970	PKD1P6	PKD1P6
Read14556	PKD1	PKD1
Read50947	PKD1P5	PKD1P2
Read51549	PKD1P4	PKD1P4
Read3593	PKD1P5	PKD1P5
Read90730	PKD1P2	PKD1P2
Read96380	PKD1	PKD1
Read71181	PKD1	PKD1
Read49275	PKD1P3	PKD1P1
Read86395	PKD1P3	PKD1P3
Read78503	PKD1P6	PKD1P6
Read5447	PKD1	PKD1
Read92033	PKD1P3	PKD1P5
Read80702	PKD1P2	PKD1P2
Read74868	PKD1P2	PKD1P4
Read37350	PKD1P1	PKD1P1
Read93222	PKD1P3	PKD1P3
Read88336	PKD1P5	PKD1P3
Read47431	PKD1P6	PKD1P5
Read94899	PKD1P6	PKD1P6
Read58774	PKD1P6	PKD1P6
Read33888	PKD1	PKD1
Read26980	PKD1P3	PKD1P3
Read33562	PKD1P2	PKD1P2
Read38823	PKD1P1	PKD1P3
Read73772	PKD1P2	PKD1P2
Read8537	PKD1P4	PKD1P3
Read19157	PKD1P4	PKD1P2
Read24478	PKD1P3	PKD1P2
Read66888	PKD1P2	PKD1P4
Read77402	PKD1P2	PKD1P5
Read10649	PKD1P2	PKD1P2
Read6989	PKD1P5	PKD1P5
Read53641	PKD1	PKD1
Read93886	PKD1P3	PKD1P3
Read12785	PKD1P1	PKD1P1
Read48301	PKD1	PKD1
Read57615	PKD1	PKD1
Read48814	PKD1P6	PKD1P6
