Read_Name	Origin_Gene	Mapped_Gene
Read283	PKD1P3	NONE
Read284	PKD1	PKD1
Read285	PKD1P6	PKD1P6
Read286	PKD1P4	NONE
Read287	PKD1P6	PKD1P6
Read288	PKD1P6	PKD1P6
Read289	PKD1	PKD1
Read290	PKD1P2	NONE
Read291	PKD1P4	PKD1P4
Read292	PKD1	PKD1
Read293	PKD1P4	NONE
Read294	PKD1	PKD1
Read295	PKD1P6	PKD1P6
Read296	PKD1P6	PKD1P6
Read297	PKD1P6	NONE
Read298	PKD1P1	NONE
Read299	PKD1P1	NONE
Read300	PKD1P3	NONE
Read301	PKD1	PKD1
Read302	PKD1P4	NONE
Read303	PKD1P5	NONE
Read304	PKD1P2	NONE
Read305	PKD1P6	NONE
Read306	PKD1	PKD1
Read307	PKD1P1	NONE
Read308	PKD1	PKD1
Read309	PKD1P4	NONE
Read310	PKD1P2	NONE
Read311	PKD1P6	PKD1P6
Read312	PKD1P3	PKD1P3
Read313	PKD1P5	NONE
Read314	PKD1P5	NONE
Read315	PKD1P5	NONE
Read316	PKD1P2	NONE
Read317	PKD1P3	NONE
Read318	PKD1P4	NONE
Read319	PKD1P6	PKD1P6
Read320	PKD1P5	NONE
Read321	PKD1P3	PKD1P3
Read322	PKD1P3	NONE
Read323	PKD1P6	PKD1P6
Read324	PKD1P5	NONE
Read325	PKD1P4	PKD1P4
Read326	PKD1P4	NONE
Read327	PKD1P3	NONE
Read328	PKD1P4	NONE
Read329	PKD1P4	NONE
Read330	PKD1P2	NONE
Read331	PKD1P2	NONE
Read332	PKD1P1	NONE
Read333	PKD1P6	PKD1P6
Read334	PKD1P5	NONE
Read335	PKD1P5	NONE
Read336	PKD1P3	PKD1P3
Read337	PKD1P1	NONE
Read338	PKD1P3	NONE
Read339	PKD1P4	NONE
Read340	PKD1P1	NONE
Read341	PKD1P3	NONE
Read342	PKD1P4	NONE
Read343	PKD1P3	NONE
Read344	PKD1	PKD1
Read345	PKD1P3	PKD1P3
Read346	PKD1P1	NONE
Read347	PKD1P1	NONE
Read348	PKD1P4	NONE
Read349	PKD1	PKD1
Read350	PKD1P3	PKD1P3
Read351	PKD1P4	PKD1P4
Read352	PKD1P4	NONE
Read353	PKD1P1	NONE
Read354	PKD1	PKD1
Read355	PKD1P2	NONE
Read356	PKD1	PKD1
Read357	PKD1P4	NONE
Read358	PKD1P6	PKD1P6
Read359	PKD1P4	NONE
Read360	PKD1P1	PKD1P1
Read361	PKD1P4	NONE
Read362	PKD1P6	PKD1P6
Read363	PKD1P3	NONE
Read364	PKD1	PKD1
Read365	PKD1P3	NONE
Read366	PKD1P2	NONE
Read367	PKD1	PKD1
Read368	PKD1P1	NONE
Read369	PKD1P3	NONE
Read370	PKD1P5	NONE
Read371	PKD1	PKD1
Read372	PKD1P6	PKD1P6
Read373	PKD1	PKD1
Read374	PKD1P1	NONE
Read375	PKD1P2	PKD1P2
Read376	PKD1P3	NONE
Read377	PKD1P6	PKD1P6
Read378	PKD1P5	NONE
Read379	PKD1P6	PKD1P6
Read380	PKD1P4	PKD1P4
Read381	PKD1P5	NONE
Read382	PKD1P5	NONE
Read383	PKD1P1	NONE
Read384	PKD1P4	PKD1P4
Read385	PKD1P4	NONE
Read386	PKD1P5	PKD1P5
Read387	PKD1P6	PKD1P6
Read388	PKD1	PKD1
Read389	PKD1P5	NONE
Read390	PKD1P4	NONE
Read391	PKD1P5	NONE
Read392	PKD1P5	NONE
Read393	PKD1P2	NONE
Read394	PKD1P3	NONE
Read395	PKD1P1	NONE
Read396	PKD1	PKD1
Read397	PKD1	PKD1
Read398	PKD1P2	NONE
Read399	PKD1P2	NONE
Read400	PKD1P1	NONE
Read401	PKD1P2	NONE
Read402	PKD1P3	NONE
Read403	PKD1P2	PKD1P2
Read404	PKD1P5	NONE
Read405	PKD1P6	PKD1P6
Read406	PKD1P1	NONE
Read407	PKD1P1	NONE
Read408	PKD1P5	NONE
Read409	PKD1P5	PKD1P5
Read410	PKD1P6	PKD1P6
Read411	PKD1	PKD1
Read412	PKD1P2	NONE
Read413	PKD1	PKD1
Read414	PKD1P6	PKD1P6
Read415	PKD1P5	PKD1P5
Read416	PKD1P1	PKD1P1
Read417	PKD1P6	PKD1P6
Read418	PKD1	PKD1
Read419	PKD1P3	NONE
Read420	PKD1P5	NONE
Read421	PKD1P4	NONE
Read422	PKD1P1	NONE
Read423	PKD1P6	PKD1P6
Read424	PKD1P5	NONE
Read425	PKD1P6	PKD1P6
Read426	PKD1	PKD1
Read427	PKD1P6	PKD1P6
Read428	PKD1P2	PKD1P2
Read429	PKD1P4	NONE
Read430	PKD1	PKD1
Read431	PKD1P3	NONE
Read432	PKD1P3	NONE
Read433	PKD1P4	PKD1P4
Read434	PKD1P3	NONE
Read435	PKD1P4	NONE
Read436	PKD1P1	NONE
Read437	PKD1P1	NONE
Read438	PKD1P2	NONE
Read439	PKD1P3	NONE
Read440	PKD1P4	PKD1P4
Read441	PKD1P2	NONE
Read442	PKD1P2	NONE
Read443	PKD1	PKD1
Read444	PKD1P4	NONE
Read445	PKD1P3	PKD1P3
Read446	PKD1P3	PKD1P3
Read447	PKD1P2	PKD1P2
Read448	PKD1P6	PKD1P6
Read449	PKD1P3	NONE
Read450	PKD1P2	NONE
Read451	PKD1P5	NONE
Read452	PKD1P5	NONE
Read453	PKD1P5	NONE
Read454	PKD1P3	NONE
Read455	PKD1P4	NONE
Read456	PKD1P2	NONE
Read457	PKD1P2	NONE
Read458	PKD1P3	NONE
Read459	PKD1P3	NONE
Read460	PKD1	PKD1
Read461	PKD1P3	NONE
Read462	PKD1P1	NONE
Read463	PKD1P4	NONE
Read464	PKD1	PKD1
Read465	PKD1P2	NONE
Read466	PKD1P1	NONE
Read467	PKD1P2	NONE
Read468	PKD1P5	NONE
Read469	PKD1P1	NONE
Read470	PKD1	PKD1
Read471	PKD1P4	NONE
Read472	PKD1P5	PKD1P5
Read473	PKD1P6	PKD1P6
Read474	PKD1	PKD1
Read475	PKD1P5	NONE
Read476	PKD1P2	PKD1P2
Read477	PKD1	NONE
Read478	PKD1P3	NONE
Read479	PKD1P1	NONE
Read480	PKD1P4	NONE
Read481	PKD1	PKD1
Read482	PKD1P3	NONE
Read483	PKD1	PKD1
Read484	PKD1P3	NONE
Read485	PKD1P3	NONE
Read486	PKD1	PKD1
Read487	PKD1P6	NONE
Read488	PKD1P6	PKD1P6
Read489	PKD1P2	NONE
Read490	PKD1P4	PKD1P4
Read491	PKD1	PKD1
Read492	PKD1P5	NONE
Read493	PKD1P4	NONE
Read494	PKD1	PKD1
Read495	PKD1P5	NONE
Read496	PKD1	PKD1
Read497	PKD1P4	NONE
Read498	PKD1P1	NONE
Read499	PKD1	PKD1
Read500	PKD1	PKD1
Read501	PKD1	PKD1
Read502	PKD1P2	NONE
Read503	PKD1P6	PKD1P6
Read504	PKD1P1	NONE
Read505	PKD1	PKD1
Read506	PKD1P5	NONE
Read507	PKD1P3	PKD1P3
Read508	PKD1P3	NONE
Read509	PKD1P1	PKD1P1
Read510	PKD1P4	NONE
Read511	PKD1P6	PKD1P6
Read512	PKD1P6	PKD1P6
Read513	PKD1P5	NONE
Read514	PKD1P6	NONE
Read515	PKD1P1	NONE
Read516	PKD1P4	PKD1P4
Read517	PKD1P4	NONE
Read518	PKD1P1	PKD1P1
Read519	PKD1P2	NONE
Read520	PKD1P5	PKD1P5
Read521	PKD1P4	PKD1P4
Read522	PKD1P3	PKD1P3
Read523	PKD1P3	NONE
Read524	PKD1P3	NONE
Read525	PKD1P5	NONE
Read526	PKD1P5	PKD1P5
Read527	PKD1P2	PKD1P2
Read528	PKD1P3	NONE
Read529	PKD1P1	PKD1P1
Read530	PKD1P4	NONE
Read531	PKD1P3	NONE
Read532	PKD1P3	NONE
Read533	PKD1P4	PKD1P4
Read534	PKD1	PKD1
Read535	PKD1P6	PKD1P6
Read536	PKD1P1	NONE
Read537	PKD1P6	NONE
Read538	PKD1P5	NONE
Read539	PKD1	PKD1
Read540	PKD1P3	NONE
Read541	PKD1	PKD1
Read542	PKD1P3	NONE
Read543	PKD1P1	NONE
Read544	PKD1P6	PKD1P6
Read545	PKD1	PKD1
Read546	PKD1P6	PKD1P6
Read547	PKD1P1	NONE
Read548	PKD1P1	NONE
Read549	PKD1P6	PKD1P6
Read550	PKD1P1	NONE
Read551	PKD1P4	NONE
Read552	PKD1P1	NONE
Read553	PKD1	PKD1
Read554	PKD1P3	PKD1P3
Read555	PKD1P6	PKD1P6
Read556	PKD1P2	NONE
Read557	PKD1P6	PKD1P6
Read558	PKD1P2	NONE
Read559	PKD1P4	PKD1P4
Read560	PKD1	PKD1
Read561	PKD1P3	NONE
Read562	PKD1P6	NONE
Read563	PKD1P4	NONE
Read564	PKD1P3	PKD1P3
Read565	PKD1P1	NONE
Read566	PKD1P6	PKD1P6
Read567	PKD1P6	NONE
Read568	PKD1P5	NONE
