Read_Name	Origin_Gene	Mapped_Gene
Read59926	PKD1	PKD1
Read59927	PKD1P1	PKD1P1
Read59929	PKD1	PKD1
Read59937	PKD1	PKD1
Read59940	PKD1	PKD1
Read59942	PKD1P5	PKD1P5
Read59943	PKD1P6	PKD1P6
Read59944	PKD1P6	PKD1P6
Read59946	PKD1	PKD1
Read59947	PKD1	PKD1
Read59952	PKD1P2	PKD1P2
Read59954	PKD1P6	PKD1P6
Read59955	PKD1	PKD1
Read59956	PKD1P5	PKD1P5
Read59957	PKD1P6	PKD1P6
Read59959	PKD1P6	PKD1P6
Read59967	PKD1P4	PKD1P4
Read59968	PKD1	PKD1
Read59971	PKD1	PKD1
Read59972	PKD1P1	PKD1P1
Read59973	PKD1	PKD1
Read59978	PKD1P6	PKD1P6
Read59982	PKD1	PKD1
Read59983	PKD1	PKD1
Read59987	PKD1	PKD1
Read59992	PKD1	PKD1
Read59997	PKD1P6	PKD1P6
Read59998	PKD1P1	PKD1P6
Read60003	PKD1	PKD1
Read60004	PKD1P6	PKD1P6
Read60009	PKD1P6	PKD1P6
Read60011	PKD1	PKD1
Read60013	PKD1	PKD1
Read60017	PKD1P3	PKD1P3
Read60018	PKD1P6	PKD1P6
Read60026	PKD1P1	PKD1P1
Read60027	PKD1P6	PKD1P6
Read60028	PKD1P6	PKD1P6
Read60029	PKD1	PKD1
Read60030	PKD1P2	PKD1P2
Read60031	PKD1P6	PKD1P6
Read60032	PKD1	PKD1
Read60033	PKD1	PKD1
Read60036	PKD1P6	PKD1P6
Read60047	PKD1P5	PKD1P5
Read60050	PKD1P1	PKD1P1
Read60052	PKD1	PKD1
Read60056	PKD1P6	PKD1P6
Read60064	PKD1P4	PKD1P4
Read60065	PKD1P2	PKD1P2
Read60067	PKD1P3	PKD1P3
Read60071	PKD1	PKD1
Read60076	PKD1P5	PKD1P5
Read60077	PKD1P6	PKD1P6
Read60079	PKD1	PKD1
Read60081	PKD1	PKD1
Read60082	PKD1P6	PKD1P6
Read60091	PKD1P2	PKD1P2
Read60094	PKD1	PKD1
Read60100	PKD1P5	PKD1P5
Read60103	PKD1P4	PKD1P4
Read60104	PKD1P6	PKD1P6
Read60106	PKD1P3	PKD1P3
Read60110	PKD1	PKD1
